RT_UNIQUE,K Crashes,A Crashes,B Crashes,C Crashes,O Crashes,Total Crashes
087-US-0460  -000,14,36,98,119,1101,1368
087-KY-0686  -000,4,30,100,100,770,1004
087-US-0060  -000,10,22,48,76,614,770
087-KY-0011  -000,5,15,62,55,379,516
087-KY-0713  -000,1,11,19,33,217,281
087-KY-0646  -000,1,7,14,28,188,238
087-CR-1029  -000,1,1,10,9,95,116
087-KY-1331  -000,0,6,5,9,56,76
087-KY-1991  -000,0,6,4,7,54,71
087-CS-1052  -000,0,2,2,2,52,58
087-CR-1042  -000,0,0,2,4,48,54
087-CR-1227  -000,0,1,4,6,40,51
087-KY-0213  -000,0,3,6,3,39,51
087-CS-1116  -000,0,0,0,1,49,50
087-CR-1019G -000,0,0,2,1,43,46
087-CS-1080  -000,0,1,0,2,38,41
087-CS-1115  -000,0,0,0,1,37,38
087-KY-0537  -000,0,1,0,2,34,37
087-CS-1024  -000,0,2,4,2,25,33
087-CR-1123  -000,0,0,1,2,27,30
087-CR-1008  -000,0,1,3,4,21,29
087-CR-1006  -000,0,1,2,1,19,23
087-CS-1023  -000,0,0,1,3,17,21
087-CR-1001  -000,0,0,0,0,19,19
087-CR-1020  -000,0,0,2,1,16,19
087-CR-1117  -000,0,0,1,0,17,18
087-CR-1322  -000,0,0,2,0,16,18
087-CS-1032  -000,0,1,2,1,13,17
087-CR-1021A -000,0,0,0,3,13,16
087-CS-1054  -000,0,0,0,0,16,16
087-CS-1064  -000,0,0,0,0,16,16
087-CS-1119  -000,0,0,0,1,14,15
087-KY-3363  -000,0,2,0,1,12,15
087-CS-1031  -000,0,0,0,2,12,14
087-CS-1117  -000,0,0,0,0,14,14
087-CS-1121  -000,0,0,0,0,14,14
087-CR-1005K -000,0,0,0,0,13,13
087-CR-1011  -000,2,2,1,1,7,13
087-CR-1107  -000,0,0,3,1,9,13
087-CR-1110  -000,0,0,1,0,12,13
087-CS-1122  -000,0,0,0,0,13,13
087-CS-1181  -000,0,0,0,1,12,13
087-CR-1226  -000,0,0,1,0,11,12
087-CS-1063  -000,0,0,0,0,12,12
087-PS-1020  -000,0,0,1,0,11,12
087-CS-1151  -000,0,0,0,0,11,11
087-CR-1221  -000,0,1,0,1,8,10
087-CS-1039  -000,0,0,0,0,10,10
087-CS-1066  -000,0,0,0,0,10,10
087-CS-1073  -000,0,0,1,1,8,10
087-CR-1307A -000,0,0,1,1,7,9
087-CS-1107  -000,0,0,1,2,6,9
087-CS-1125  -000,0,0,0,0,9,9
087-PR-1352  -000,0,0,0,0,9,9
087-CR-1059  -000,0,0,1,0,7,8
087-CR-1102  -000,0,1,3,1,3,8
087-CR-1104  -000,0,0,2,1,5,8
087-CR-1129  -000,0,0,0,0,8,8
087-CR-1313  -000,1,0,1,1,5,8
087-CS-1089  -000,0,0,0,1,7,8
087-CS-1093  -000,0,0,0,0,8,8
087-CS-1150  -000,0,0,0,0,8,8
087-CS-1156  -000,0,1,0,0,7,8
087-CS-2003  -000,0,0,1,0,7,8
087-PR-1107  -000,0,0,0,0,8,8
087-PR-1371  -000,0,0,1,0,7,8
087-PS-1105  -000,0,0,0,0,8,8
087-CR-1019H -000,0,0,0,0,7,7
087-CR-1209  -000,0,0,0,0,7,7
087-CR-1306N -000,0,0,0,0,7,7
087-CS-1108  -000,0,0,0,0,7,7
087-CS-1500  -000,0,0,0,1,6,7
087-CR-1007  -000,0,0,1,2,3,6
087-CR-1025A -000,0,0,0,0,6,6
087-CR-1034  -000,0,0,0,0,6,6
087-CR-1051  -000,0,0,0,1,5,6
087-CR-1105  -000,0,0,0,0,6,6
087-CR-1157  -000,0,0,0,0,6,6
087-CR-1165  -000,0,1,0,1,4,6
087-CR-1320  -000,0,0,2,0,4,6
087-CS-1078  -000,0,0,0,0,6,6
087-CS-1109  -000,0,0,0,0,6,6
087-CS-2021  -000,0,0,0,1,5,6
