IncidentID,AgencyName,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,KABCO Code,KABCO,RT_UNIQUE
3414376,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0749038,-83.948594,8.226,1/2/2015,1623,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-US-0460  -000
3437926,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,I 0064,,,,38.07898,-83.9493438,0.154,1/24/2015,2150,2,2,0,0,CLEAR,WET,TRUE,REAR END - ON RAMP,REAR END,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON,5,O,087-CR-1040  -000
3437970,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,550,INDIAN MOUND,DR,38.0673811,-83.9552223,0.717,1/23/2015,1133,3,3,0,2,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,4,C,087-KY-0686  -000
3452192,"KY STATE POLICE, POST 08",MONTGOMERY,US0060,,OWINGSVILLE,RD,38.0759818,-83.9158025,7.358,1/28/2015,1258,2,2,0,2,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & GRADE,DAYLIGHT,3,B,087-US-0060  -000
3463516,MONTGOMERY CO. SCHOOL DIST. PD,MONTGOMERY,,,MONTGOMERY CO HIGH SCHOOL ARENA,DR,38.0452692,-83.9420111,0.058,2/25/2015,805,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING OR LEAVING PARKED POSITION (NOT PARKING LOT),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-PS-1105  -000
3463520,MONTGOMERY CO. SCHOOL DIST. PD,MONTGOMERY,,,EARLY LEARNING CENTER,DR,38.0604439,-83.9435097,0.001,2/24/2015,900,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-PS-1023  -000
3470034,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0060,25,MAIN,ST,38.056373,-83.9421656,5.122,1/20/2015,1558,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-US-0060  -000
3470039,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,BANK,ST,38.0559688,-83.9432644,9.559,1/20/2015,1819,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON,5,O,087-US-0460  -000
3480072,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,1707,LEVEE,RD,38.0312651,-83.9497029,8.584,2/11/2015,1054,1,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,3,B,087-KY-0011  -000
3480078,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,,709,MELANIE,LN,38.0674841,-83.9167198,0.32,2/12/2015,1030,2,2,0,0,SNOWING,WET,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & HILLCREST,DAYLIGHT,5,O,087-CR-1023E -000
